source,family,T,EL,L
ctrl,poetry_abbasi,-2.171494,0.100000,-2.261330
ctrl,poetry_abbasi,-2.673346,0.142857,-2.349657
ctrl,poetry_abbasi,-2.520679,0.102273,-2.437905
ctrl,poetry_abbasi,-2.728904,0.055556,-2.744092
ctrl,poetry_abbasi,-2.841450,0.000000,-3.036229
ctrl,poetry_abbasi,-2.735195,0.072727,-2.675684
ctrl,poetry_abbasi,-2.593925,0.051282,-2.690024
ctrl,poetry_abbasi,-3.450177,0.000000,-3.360606
ctrl,poetry_abbasi,-2.406680,0.133333,-2.247356
ctrl,poetry_abbasi,-2.422186,0.066667,-2.534216
ctrl,poetry_abbasi,-2.788665,0.054054,-2.782212
ctrl,poetry_abbasi,-2.717225,0.107692,-2.519991
ctrl,poetry_abbasi,-2.715801,0.103448,-2.536968
ctrl,poetry_abbasi,-2.440910,0.111111,-2.358462
ctrl,poetry_abbasi,-1.925159,0.250000,-1.503221
ctrl,poetry_abbasi,-1.062570,0.214286,-1.192815
ctrl,poetry_abbasi,-2.026507,0.062500,-2.340780
ctrl,poetry_abbasi,-3.108442,0.058824,-2.932682
ctrl,poetry_abbasi,-3.140909,0.058824,-2.949983
ctrl,poetry_abbasi,-2.796364,0.078125,-2.685723
ctrl,poetry_abbasi,-2.582239,0.056604,-2.661557
ctrl,poetry_abbasi,-2.926602,0.000000,-3.081605
ctrl,poetry_abbasi,-2.454535,0.125000,-2.307682
ctrl,poetry_abbasi,-3.489704,0.000000,-3.381669
